EVALUACION_ID,ZONA_ID,ZONA_NOMBRE,REGION,PROVINCIA,DISTRITO,LATITUD,LONGITUD,ALTITUD_MSNM,SUPERFICIE_HA,TIPO_YACIMIENTO,MINERAL_PRINCIPAL,CONCESION_ID,ESTADO_CONCESION,EMPRESA_OPERADORA,ACCESIBILIDAD_SCORE,DISPONIBILIDAD_AGUA_SCORE,DISTANCIA_VIA_PRINCIPAL_KM,DISTANCIA_PLANTA_KM,FASE_EXPLORACION,ANIO,TRIMESTRE,MES,FECHA_EVALUACION,EVALUADOR,METODO_EVALUACION,SISMICIDAD_INDICE,DISTANCIA_FALLA_GEOLOGICA_KM,ESTABILIDAD_TALUD_SCORE,PENDIENTE_PROMEDIO_PCT,NIVEL_FREATICO_M,CAUDAL_INFILTRACION_LPS,POTENCIAL_DRENAJE_ACIDO_PH,EVENTOS_GEOLOGICOS_12M,DISTANCIA_AREA_PROTEGIDA_KM,DISTANCIA_CUERPO_AGUA_KM,INDICE_ESTRES_HIDRICO,COBERTURA_VEGETAL_PCT,CALIDAD_AIRE_PM10_UGM3,PASIVOS_AMBIENTALES_NUM,ESPECIES_SENSIBLES_NUM,CONSUMO_AGUA_M3_MES,HUELLA_CARBONO_TCO2E_MES,COMUNIDADES_INFLUENCIA_NUM,POBLACION_INFLUENCIA,DISTANCIA_COMUNIDAD_KM,CONFLICTOS_REGISTRADOS_12M,DIAS_PARALIZACION_12M,INDICE_ACEPTACION_SOCIAL,CONVENIOS_VIGENTES_NUM,EMPLEO_LOCAL_PCT,IDH_DISTRITAL,POBREZA_DISTRITAL_PCT,QUEJAS_REGISTRADAS_12M,COSTO_MITIGACION_EJECUTADO_USD,ACCIONES_MITIGACION_NUM,ESTADO_REVISION,REVISOR_ASIGNADO,DECISION_ESPECIALISTA,FECHA_DECISION,COMENTARIO_REVISION,MONEDA
EVR-000011,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Evaluacion Economica,2020,Q1,2020-01,2020-01-24,P. Huaman,Analisis documental,5.6,7.31,1.94,41.1,58.6,28.66,5.16,4,71.34,13.08,0.318,18.3,79.6,1,2,8251.5,809.8,7,13641,11.88,6,20,0.309,0,27.0,0.436,39.7,34,153976.32,7,En revision,S. Ccahuana,,,,USD
EVR-000012,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Prospeccion,2020,Q1,2020-02,2020-02-15,R. Salazar,Analisis documental,5.29,7.31,2.34,41.1,59.5,23.23,4.22,4,71.34,13.08,0.216,37.8,60.6,3,2,3573.5,550.8,7,13641,11.88,7,29,0.189,1,37.2,0.436,39.7,19,294587.33,2,Revisada,J. Mendoza,Continuar con monitoreo,2020-03-04,Aprobado condicionado a plan de manejo de aguas acidas,USD
EVR-000013,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Evaluacion Economica,2020,Q1,2020-03,2020-03-09,D. Vargas,Inspeccion de campo,5.95,7.31,1.0,41.1,17.1,48.0,3.53,3,71.34,13.08,0.411,33.1,76.7,7,2,2549.7,1501.1,7,13641,11.88,3,15,0.176,2,35.4,0.436,39.7,28,415980.93,6,Aprobada,P. Huaman,Continuar exploracion,2020-03-31,Actualizar linea base de calidad de aire,USD
EVR-000014,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Avanzada,2020,Q2,2020-04,2020-04-27,S. Ccahuana,Modelo estadistico,6.4,7.31,2.36,41.1,35.3,23.58,4.41,5,71.34,13.08,0.63,2.0,95.7,2,2,11822.1,854.5,7,13641,11.88,4,34,0.498,4,25.4,0.436,39.7,18,664110.59,11,Observada,A. Quispe,Continuar con condiciones,2020-04-29,Requiere actualizar el estudio hidrogeologico antes de continuar,USD
EVR-000015,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2020,Q2,2020-05,2020-05-19,C. Ticona,Modelo estadistico,3.38,7.31,3.42,41.1,13.9,22.76,5.84,3,71.34,13.08,0.05,7.5,89.5,2,2,26348.2,635.9,7,13641,11.88,6,31,0.2,3,17.4,0.436,39.7,33,225760.82,4,Observada,A. Quispe,Continuar con condiciones,2020-05-29,Observado por cercania a area natural protegida,USD
EVR-000016,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2020,Q2,2020-06,2020-06-21,R. Salazar,Matriz multicriterio,6.71,7.31,3.89,41.1,38.3,20.11,7.02,6,71.34,13.08,0.362,31.9,47.7,1,2,2418.0,223.7,7,13641,11.88,6,37,0.401,5,26.7,0.436,39.7,21,360566.36,7,Aprobada,J. Mendoza,Continuar exploracion,2020-06-28,Pendiente levantamiento de pasivos ambientales identificados,USD
EVR-000017,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Avanzada,2020,Q3,2020-07,2020-07-09,L. Chavez,Modelo estadistico,7.18,7.31,2.84,41.1,61.8,33.28,4.29,4,71.34,13.08,0.05,12.0,127.5,4,2,12626.9,35,7,13641,11.88,6,22,0.05,0,42.1,0.436,39.7,16,219214.07,5,Pendiente,L. Chavez,,,,USD
EVR-000018,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Avanzada,2020,Q3,2020-08,2020-08-11,J. Mendoza,Panel de expertos,6.27,7.31,2.24,41.1,13.9,33.52,4.58,5,71.34,13.08,0.308,20.2,12.0,3,2,800,326.0,7,13641,11.88,8,33,0.385,0,27.9,0.436,39.7,23,637603.11,4,Revisada,N. Bustamante,Continuar con monitoreo,2020-08-21,Observado por cercania a area natural protegida,USD
EVR-000019,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Avanzada,2020,Q3,2020-09,2020-09-19,S. Ccahuana,Analisis documental,4.79,7.31,1.0,41.1,42.6,35.45,6.52,3,71.34,13.08,0.445,2.0,114.3,4,2,10289.8,109.1,7,13641,11.88,6,29,0.387,0,30.5,0.436,39.7,18,211060.46,9,En revision,R. Salazar,,,,USD
EVR-000020,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Avanzada,2020,Q4,2020-10,2020-10-02,N. Bustamante,Inspeccion de campo,5.24,7.31,2.77,41.1,35.3,32.59,5.1,5,71.34,13.08,0.327,26.3,71.8,6,2,800,614.2,7,13641,11.88,2,14,0.302,1,30.0,0.436,39.7,21,728689.81,4,En revision,N. Bustamante,,,,USD
EVR-000021,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2020,Q4,2020-11,2020-11-26,J. Mendoza,Panel de expertos,5.58,7.31,2.42,41.1,46.8,25.85,6.94,3,71.34,13.08,0.05,2.0,12.0,0,2,4129.8,166.2,7,13641,11.88,8,21,0.216,2,47.5,0.436,39.7,32,500344.96,7,Revisada,D. Vargas,Continuar con monitoreo,2020-12-17,Sin observaciones relevantes en el periodo evaluado,USD
EVR-000022,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2020,Q4,2020-12,2020-12-25,R. Salazar,Modelo estadistico,6.62,7.31,1.64,41.1,45.0,37.51,5.61,5,71.34,13.08,0.362,2.0,86.2,4,2,9898.3,550.2,7,13641,11.88,7,26,0.6,1,8.1,0.436,39.7,12,303792.65,8,Aprobada,L. Chavez,Continuar exploracion,2021-01-15,Escalar a comite por conflictividad social creciente,USD
EVR-000023,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2021,Q1,2021-01,2021-01-23,S. Ccahuana,Analisis documental,4.93,7.31,1.38,41.1,36.7,44.48,4.22,3,71.34,13.08,0.282,18.6,73.9,0,2,6317.1,434.1,7,13641,11.88,6,20,0.22,2,19.0,0.436,39.7,23,303388.87,12,En revision,C. Ticona,,,,USD
EVR-000024,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Avanzada,2021,Q1,2021-02,2021-02-06,A. Quispe,Matriz multicriterio,7.3,7.31,2.73,41.1,20.2,22.11,4.91,4,71.34,13.08,0.074,7.1,51.5,3,2,6586.0,364.9,7,13641,11.88,6,28,0.291,2,28.4,0.436,39.7,34,349683.6,6,Aprobada,A. Quispe,Continuar exploracion,2021-02-11,Pendiente levantamiento de pasivos ambientales identificados,USD
EVR-000025,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Prospeccion,2021,Q1,2021-03,2021-03-08,P. Huaman,Inspeccion de campo,7.93,7.31,3.15,41.1,34.2,32.87,5.18,3,71.34,13.08,0.227,18.8,27.5,1,2,800,35,7,13641,11.88,7,29,0.441,1,34.3,0.436,39.7,20,112263.13,4,Revisada,L. Chavez,Continuar con monitoreo,2021-03-23,Actualizar linea base de calidad de aire,USD
EVR-000026,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Evaluacion Economica,2021,Q2,2021-04,2021-04-28,J. Mendoza,Matriz multicriterio,5.85,7.31,2.76,41.1,9.6,41.72,5.58,4,71.34,13.08,0.398,21.7,29.8,3,2,17307.1,1161.7,7,13641,11.88,7,10,0.084,1,32.5,0.436,39.7,22,138103.75,3,Aprobada,C. Ticona,Continuar exploracion,2021-05-20,Verificar vigencia de convenios con la comunidad,USD
EVR-000027,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2021,Q2,2021-05,2021-05-09,D. Vargas,Modelo estadistico,7.89,7.31,1.11,41.1,53.6,35.63,5.4,4,71.34,13.08,0.189,36.4,54.8,2,2,8646.4,35,7,13641,11.88,9,13,0.277,1,32.4,0.436,39.7,25,109827.86,5,Aprobada,D. Vargas,Continuar exploracion,2021-05-13,Observado por cercania a area natural protegida,USD
EVR-000028,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Prospeccion,2021,Q2,2021-06,2021-06-04,R. Salazar,Analisis documental,6.92,7.31,2.25,41.1,47.0,38.54,4.61,4,71.34,13.08,0.408,32.7,15.8,0,2,10421.9,35,7,13641,11.88,7,27,0.344,3,37.9,0.436,39.7,25,777334.18,1,Aprobada,S. Ccahuana,Continuar exploracion,2021-06-29,Se recomienda taller informativo con la comunidad de influencia directa,USD
EVR-000029,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2021,Q3,2021-07,2021-07-02,M. Rojas,Panel de expertos,5.49,7.31,3.49,41.1,27.5,43.11,4.4,4,71.34,13.08,0.273,27.5,117.2,5,2,19897.5,58.5,7,13641,11.88,5,10,0.315,3,19.2,0.436,39.7,16,310694.04,5,Observada,S. Ccahuana,Continuar con condiciones,2021-07-08,Sin observaciones relevantes en el periodo evaluado,USD
EVR-000030,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Avanzada,2021,Q3,2021-08,2021-08-11,S. Ccahuana,Analisis documental,6.58,7.31,2.73,41.1,53.7,19.89,4.62,5,71.34,13.08,0.05,12.0,12.0,3,2,5065.8,567.3,7,13641,11.88,6,38,0.092,0,5.0,0.436,39.7,25,221584.56,5,Pendiente,S. Ccahuana,,,,USD
EVR-000031,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2021,Q3,2021-09,2021-09-22,J. Mendoza,Inspeccion de campo,2.79,7.31,2.55,41.1,39.3,15.83,4.2,4,71.34,13.08,0.164,36.6,70.1,6,2,20188.4,804.3,7,13641,11.88,6,15,0.215,3,17.6,0.436,39.7,23,370839.68,5,Revisada,J. Mendoza,Continuar con monitoreo,2021-10-15,Escalar a comite por conflictividad social creciente,USD
EVR-000032,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Evaluacion Economica,2021,Q4,2021-10,2021-10-05,S. Ccahuana,Analisis documental,6.65,7.31,3.29,41.1,13.4,44.75,4.32,1,71.34,13.08,0.274,9.0,48.0,2,2,11754.8,153.6,7,13641,11.88,8,13,0.241,1,46.0,0.436,39.7,22,411833.79,4,Rechazada,P. Huaman,Suspender actividades,2021-10-08,Escalar a comite por conflictividad social creciente,USD
EVR-000033,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Prospeccion,2021,Q4,2021-12,2021-12-18,J. Mendoza,Inspeccion de campo,3.94,7.31,2.13,41.1,3.3,32.36,6.86,5,71.34,13.08,0.075,30.1,44.6,0,2,7838.9,35,7,13641,11.88,6,27,0.517,1,5.0,0.436,39.7,25,513986.54,10,Pendiente,P. Huaman,,,,USD
EVR-000034,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2022,Q1,2022-02,2022-02-05,A. Quispe,Matriz multicriterio,5.2,7.31,2.56,41.1,26.9,31.27,5.43,3,71.34,13.08,0.174,2.0,99.9,4,2,1410.7,989.8,7,13641,11.88,5,31,0.268,2,20.6,0.436,39.7,28,413453.73,7,En revision,C. Ticona,,,,USD
EVR-000035,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Avanzada,2022,Q1,2022-03,2022-03-14,R. Salazar,Matriz multicriterio,3.06,7.31,1.84,41.1,63.0,43.57,4.51,3,71.34,13.08,0.131,21.5,12.0,6,2,7432.3,156.4,7,13641,11.88,7,29,0.134,2,20.9,0.436,39.7,31,505123.79,5,Aprobada,A. Quispe,Continuar exploracion,2022-04-01,Pendiente levantamiento de pasivos ambientales identificados,USD
EVR-000036,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Evaluacion Economica,2022,Q2,2022-04,2022-04-23,N. Bustamante,Modelo estadistico,6.88,7.31,2.23,41.1,45.0,30.79,4.29,5,71.34,13.08,0.173,28.5,38.6,0,2,7627.6,1110.4,7,13641,11.88,8,34,0.414,3,19.0,0.436,39.7,20,508312.16,8,Revisada,R. Salazar,Continuar con monitoreo,2022-05-14,Verificar vigencia de convenios con la comunidad,USD
EVR-000037,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Evaluacion Economica,2022,Q2,2022-06,2022-06-07,N. Bustamante,Panel de expertos,7.49,7.31,2.43,41.1,25.7,34.84,5.96,4,71.34,13.08,0.05,12.9,50.4,1,2,10158.2,388.1,7,13641,11.88,4,26,0.34,0,20.3,0.436,39.7,24,527035.03,8,Revisada,J. Mendoza,Continuar con monitoreo,2022-06-21,Se recomienda taller informativo con la comunidad de influencia directa,USD
EVR-000038,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Evaluacion Economica,2022,Q3,2022-07,2022-07-14,D. Vargas,Analisis documental,6.88,7.31,2.1,41.1,23.1,27.61,6.08,3,71.34,13.08,0.348,16.6,54.6,0,2,2368.9,279.6,7,13641,11.88,9,36,0.48,1,16.9,0.436,39.7,21,337718.78,8,Revisada,D. Vargas,Continuar con monitoreo,2022-07-16,Aprobado condicionado a plan de manejo de aguas acidas,USD
EVR-000039,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2022,Q3,2022-08,2022-08-06,R. Salazar,Analisis documental,3.89,7.31,2.03,41.1,31.4,18.41,4.2,5,71.34,13.08,0.301,18.1,62.8,0,2,18672.9,927.3,7,13641,11.88,6,24,0.212,4,36.1,0.436,39.7,20,494639.6,7,Aprobada,S. Ccahuana,Continuar exploracion,2022-08-10,Sin observaciones relevantes en el periodo evaluado,USD
